text,emotion
I have lost all motivation,sad
My dreams are falling apart,sad
I feel abandoned,sad
This is breaking me down,sad
Cannot shake this sadness,sad
Feeling utterly hopeless,sad
Everything reminds me of what I lost,sad
So much pain in my heart,sad
Life feels meaningless right now,sad
Cannot find any joy anymore,sad
Wish things were different,sad
Missing what used to be,sad
Feel like giving up,sad
No one cares about me,sad
Every day feels harder,sad
Cannot see any light ahead,sad
Lost and alone in this world,sad
My world has fallen apart,sad
Nothing to look forward to,sad
Feel invisible to everyone,sad
Tired of feeling this way,sad
Crying myself to sleep again,sad
Cannot remember being happy,sad
This emptiness consumes me,sad
Feel so small and insignificant,sad
Nobody notices when I am gone,sad
Lost all hope for the future,sad
This darkness will not leave me,sad
Feel broken beyond repair,sad
Cannot stop the tears,sad
My soul feels heavy,sad
Wish I could turn back time,sad
Everything I touch falls apart,sad
Feel disconnected from everything,sad
This sadness never ends,sad
Lost interest in everything,sad
Cannot find the strength to go on,sad
Feel like a failure,sad
My life is falling apart,sad
Cannot escape this pain,sad
Feel so lost and confused,sad
This hurts more than I can say,sad
Cannot believe this happened,sad
Feel completely broken inside,sad
This grief is overwhelming,sad
Cannot find any reason to smile,sad
Feel like I am drowning,sad
Lost everything that mattered,sad
Cannot see a way out,sad
This depression is suffocating,sad
Feel hopeless and alone,sad
Cannot shake these dark thoughts,sad
Everything feels pointless,sad
Lost my way completely,sad
Cannot stop feeling this pain,sad
Feel abandoned by everyone,sad
I feel emotionally drained,sad
My mood feels heavy,sad
I feel discouraged today,sad
Everything feels dull,sad
I feel weighed down,sad
I am feeling low,sad
My heart feels tired,sad
I feel emotionally fragile,sad
I feel regretful,sad
Today feels difficult,sad
I feel unhappy inside,sad
I feel unmotivated,sad
I feel emotionally empty,sad
I am struggling mentally,sad
I feel overwhelmed by sadness,sad
I feel disconnected,sad
I feel emotionally hurt,sad
I feel sorrowful,sad
I feel gloomy,sad
I feel broken emotionally,sad
I feel deep sadness,sad
I feel tired of everything,sad
I feel emotionally weak,sad
I feel hopeless today,sad
I feel regret inside,sad
I feel lonely sadness,sad
I feel discouraged by life,sad
I feel unhappy with myself,sad
I feel downhearted,sad
I feel emotionally crushed,sad
I feel abandoned,sad
I feel mentally exhausted,sad
I feel sadness lingering,sad
I feel discouraged and sad,sad
I feel emotionally numb,sad
I feel disappointed deeply,sad
I feel sorrow inside,sad
I feel broken-hearted,sad
I feel emotionally worn out,sad
I feel defeated,sad
I feel sadness weighing on me,sad
I feel emotionally heavy,sad
I feel unhappy today,sad
I feel discouraged and tired,sad
I feel grief,sad
I feel sadness without reason,sad
I feel lonely inside,sad
I feel emotionally lost,sad
I feel down today,sad
I feel sadness consuming me,sad
I feel emotionally overwhelmed,sad
I feel hopelessness,sad
I feel sadness building,sad
I feel regret and sadness,sad
I feel emotionally tired,sad
I feel sadness lingering in my heart,sad
I feel unfulfilled,sad
I feel emotional pain,sad
I feel sadness in silence,sad
I feel mentally drained,sad
I feel discouraged emotionally,sad
I feel sorrow weighing me down,sad
I feel sadness clouding my mind,sad
I feel lonely sadness today,sad
I feel emotionally vulnerable,sad
I feel sadness creeping in,sad
I feel disappointed inside,sad
I feel mentally low,sad
I feel emotionally fragile today,sad
I feel sadness settling,sad
I feel heavy-hearted,sad
I feel emotionally broken,sad
I feel sorrowful today,sad
I feel sadness deep inside,sad
I feel emotionally exhausted today,sad
I feel sadness quietly,sad
I feel lonely thoughts,sad
I feel emotionally distant,sad
I feel sadness and regret,sad
I feel unhappy emotions,sad
I feel sadness returning,sad
I feel emotionally empty today,sad
I feel sadness pressing on me,sad
I feel tired sadness,sad
I feel lost emotionally,sad
I feel sadness growing,sad
I feel emotional sorrow,sad
I feel sadness pulling me down,sad
I feel unhappy energy,sad
I feel sorrow without hope,sad
I feel sadness dominating,sad
I feel emotionally worn,sad
I feel sadness lingering today,sad
I feel discouraged feelings,sad
I feel heavy sadness,sad
I feel emotionally defeated,sad
I feel sadness filling my mind,sad
I feel low and sad,sad
I feel sadness spreading,sad
I feel emotionally overwhelmed by sadness,sad
I am extremely angry right now,angry
This is so frustrating,angry
I hate when this happens,angry
He ruined everything,angry
I lost my temper,angry
This makes me furious,angry
I am tired of this nonsense,angry
Why does nobody listen,angry
That was completely unfair,angry
I am fed up with this,angry
This situation makes me angry,angry
I cannot tolerate this anymore,angry
I am boiling with rage,angry
This is absolutely infuriating,angry
I want to scream right now,angry
How dare they do this,angry
I am outraged by this behavior,angry
This is driving me crazy,angry
I have had enough of this,angry
My patience has run out,angry
This is completely unacceptable,angry
I am seething with anger,angry
They crossed the line,angry
I feel disrespected,angry
This is making my blood boil,angry
I am sick of being ignored,angry
This injustice enrages me,angry
I cannot control my anger,angry
They betrayed my trust,angry
This is so aggravating,angry
I am livid right now,angry
Why would they do this to me,angry
I feel so provoked,angry
This situation is infuriating,angry
I am done with this treatment,angry
My anger is justified,angry
I will not stand for this,angry
This is beyond frustrating,angry
I am incensed by this,angry
They have no respect,angry
This makes me want to explode,angry
I am furious about what happened,angry
So angry I could punch something,angry
This is absolute bullshit,angry
Sick and tired of this crap,angry
They have some nerve,angry
Cannot believe their audacity,angry
This is ridiculous,angry
Had it up to here,angry
They are going to regret this,angry
Absolutely fuming right now,angry
This pushes all my buttons,angry
Cannot take this anymore,angry
They think they can treat me like this,angry
Enough is enough,angry
This is the last time,angry
So mad I am shaking,angry
They have gone too far,angry
This is insulting,angry
Cannot stand their attitude,angry
They better watch themselves,angry
This is unforgivable,angry
Ready to lose it,angry
They have no idea who they are messing with,angry
This disrespect is intolerable,angry
Cannot believe they did that,angry
This makes my blood pressure rise,angry
So done with their excuses,angry
They are testing my patience,angry
This is war now,angry
Cannot hold back my anger,angry
They stepped over the line,angry
This is absolutely outrageous,angry
So mad I cannot think straight,angry
They are going to pay for this,angry
This is inexcusable,angry
Cannot forgive this,angry
They deliberately provoked me,angry
This is a slap in the face,angry
So angry I am seeing red,angry
They have crossed me for the last time,angry
This is completely out of line,angry
Cannot believe their nerve,angry
They disrespected me again,angry
This is the final straw,angry
So furious right now,angry
They think they can get away with this,angry
This is absolutely maddening,angry
Cannot tolerate their behavior,angry
They have pushed me too far,angry
This is making me irate,angry
So angry words cannot describe,angry
They better apologize,angry
This is totally unacceptable,angry
Cannot deal with this anymore,angry
I feel irritated,angry
I am annoyed right now,angry
This situation irritates me,angry
I feel rage building,angry
I am extremely annoyed,angry
My temper is rising,angry
I feel furious inside,angry
This makes me angry instantly,angry
I am losing patience,angry
I feel intense frustration,angry
I am angry about this,angry
I feel provoked,angry
I am irritated by this behavior,angry
My anger is growing,angry
I feel resentment,angry
I am mad right now,angry
I feel hostility,angry
I am deeply annoyed,angry
This is enraging,angry
I feel boiling anger,angry
I am upset and angry,angry
I feel explosive anger,angry
I am irritated beyond limit,angry
I feel rage inside me,angry
I am furious at this situation,angry
I feel offended,angry
I am angry and frustrated,angry
I feel heated anger,angry
I am irritated emotionally,angry
I feel uncontrollable anger,angry
I am mad with frustration,angry
I feel provoked again,angry
I am irritated repeatedly,angry
I feel anger tightening,angry
I am upset by this unfairness,angry
I feel anger surging,angry
I am angry at the outcome,angry
I feel rage boiling,angry
I am fed up and angry,angry
I feel annoyed constantly,angry
I am irritated deeply,angry
I feel anger taking over,angry
I am mad beyond reason,angry
I feel intense irritation,angry
I am frustrated and angry,angry
I feel angry energy,angry
I am irritated at everything,angry
I feel rage building up,angry
I am annoyed emotionally,angry
I feel anger exploding,angry
I am furious beyond words,angry
I feel irritation rising,angry
I am angry and annoyed,angry
I feel rage filling me,angry
I am irritated by disrespect,angry
I feel anger deep inside,angry
I am annoyed with this situation,angry
I feel rage intensifying,angry
I am angry beyond control,angry
I feel frustration boiling,angry
I am irritated beyond patience,angry
I feel anger dominating,angry
I am mad at this injustice,angry
I feel intense rage,angry
I am annoyed again,angry
I feel anger pressing,angry
I am furious internally,angry
I feel irritated feelings,angry
I am angry and fed up,angry
I feel rage consuming me,angry
I am annoyed by everything,angry
I feel anger taking control,angry
I am irritated mentally,angry
I feel boiling frustration,angry
I am angry about being ignored,angry
I feel rage building steadily,angry
I am annoyed beyond tolerance,angry
I feel anger surging inside,angry
I am furious with this outcome,angry
I feel irritation overwhelming,angry
I am angry and frustrated today,angry
I feel rage burning,angry
I am irritated by unfair treatment,angry
I feel anger boiling inside,angry
I am mad and irritated,angry
I feel uncontrollable frustration,angry
I am angry and upset,angry
I feel rage tightening my chest,angry
I am irritated beyond words,angry
I feel anger surging rapidly,angry
I am furious at the disrespect,angry
I feel boiling anger inside,angry
I am annoyed and angry today,angry
I feel rage growing stronger,angry
I am irritated by constant issues,angry
I feel anger flaring up,angry
I am mad at this behavior,angry
I feel frustration dominating,angry
I am angry emotionally,angry
I feel rage taking over completely,angry
I am really scared,fear
This situation worries me,fear
I feel anxious about tomorrow,fear
That sound terrified me,fear
I am afraid of failing,fear
My heart is racing from fear,fear
I feel unsafe here,fear
This is making me nervous,fear
I fear something bad will happen,fear
I am panicking right now,fear
I feel threatened,fear
I am worried about the future,fear
I am terrified right now,fear
My anxiety is through the roof,fear
I cannot shake this fear,fear
Something bad is going to happen,fear
I am paralyzed with fear,fear
This is my worst nightmare,fear
I am dreading this moment,fear
My hands are shaking from fear,fear
I feel so vulnerable,fear
This fear is consuming me,fear
I am afraid to move forward,fear
The uncertainty is frightening,fear
I cannot sleep because of worry,fear
I am haunted by this fear,fear
My stomach is in knots,fear
I feel so insecure,fear
This danger is real,fear
I am overwhelmed with anxiety,fear
I fear the worst will happen,fear
My mind is racing with worry,fear
I am too scared to act,fear
This phobia is controlling me,fear
I am having a panic attack,fear
The suspense is killing me,fear
I am afraid of the unknown,fear
This threat is serious,fear
I am trembling with fear,fear
I cannot face this fear,fear
My nerves are shot,fear
I am constantly on edge,fear
What if something goes wrong,fear
Cannot stop worrying about this,fear
This anxiety is eating me alive,fear
Afraid of what might happen,fear
My worst fears are coming true,fear
Cannot calm down,fear
This terrifies me,fear
Scared out of my mind,fear
Do not know if I can handle this,fear
What if I fail,fear
This is too much pressure,fear
Afraid I will mess this up,fear
Cannot stop these anxious thoughts,fear
Worried sick about this,fear
Feel like something terrible will happen,fear
This dread is overwhelming,fear
Cannot shake this bad feeling,fear
Afraid of making the wrong choice,fear
My anxiety is paralyzing me,fear
What if everything falls apart,fear
Cannot stop imagining the worst,fear
This uncertainty is killing me,fear
Afraid of the consequences,fear
What if I am not good enough,fear
This fear controls my every thought,fear
Cannot escape this anxiety,fear
Terrified of what comes next,fear
My mind keeps going to dark places,fear
What if I lose everything,fear
This panic will not go away,fear
Afraid I cannot protect myself,fear
Cannot stop these fearful thoughts,fear
This stress is unbearable,fear
What if I disappoint everyone,fear
Afraid of being judged,fear
This nervousness is overwhelming,fear
Cannot handle this pressure,fear
What if I get hurt,fear
This fear is suffocating me,fear
Afraid of being alone,fear
Cannot shake this paranoia,fear
What if no one believes me,fear
This worry never stops,fear
Afraid of the unknown outcome,fear
Cannot face my fears,fear
What if I am not strong enough,fear
This anxiety rules my life,fear
Afraid of being vulnerable,fear
Cannot trust this situation,fear
What if everything goes wrong,fear
This fear is irrational but real,fear
I feel uneasy about what is coming,fear
My chest feels tight with worry,fear
I am scared something will go wrong,fear
I feel nervous inside,fear
My thoughts are filled with fear,fear
I feel tense and afraid,fear
This uncertainty frightens me,fear
I feel panic rising,fear
I am scared of the outcome,fear
My body feels frozen with fear,fear
I feel threatened by this situation,fear
My heart is pounding fast,fear
I feel afraid to take the next step,fear
This fear feels overwhelming,fear
I am nervous about making a mistake,fear
I feel dread building,fear
I am frightened of failing,fear
My anxiety feels uncontrollable,fear
I feel scared and uncertain,fear
This makes me extremely anxious,fear
I feel unsafe emotionally,fear
I am afraid of what might happen next,fear
My hands are shaking with fear,fear
I feel panic taking over,fear
I am scared to face this,fear
I feel nervous tension,fear
I am afraid of losing control,fear
This fear keeps growing,fear
I feel scared inside,fear
I am anxious about the future,fear
I feel threatened and scared,fear
I am afraid of disappointing others,fear
My mind is filled with worry,fear
I feel scared and vulnerable,fear
This fear is difficult to handle,fear
I feel constant anxiety,fear
I am frightened by uncertainty,fear
I feel panic creeping in,fear
I am scared of being judged,fear
My nerves are overwhelmed,fear
I feel afraid of the unknown,fear
I am anxious and fearful,fear
This situation feels dangerous,fear
I feel intense fear,fear
I am scared of messing things up,fear
I feel dread inside me,fear
I am afraid to make a decision,fear
This fear feels paralyzing,fear
I feel panic rising quickly,fear
I am scared of consequences,fear
I feel anxious pressure,fear
I am frightened by this thought,fear
I feel fear tightening my chest fear
I am scared to move forward,fear
I feel overwhelmed by anxiety,fear
I am afraid of failing again,fear
My fear is consuming my focus,fear
I feel tense and worried,fear
I am frightened of being alone,fear
This fear is exhausting,fear
I feel anxious without reason,fear
I am scared of what lies ahead,fear
My thoughts are racing with fear,fear
I feel panic in my body,fear
I am afraid to speak up,fear
This makes me feel unsafe,fear
I feel fear controlling me,fear
I am frightened of rejection,fear
I feel anxious anticipation,fear
I am scared of making the wrong choice,fear
This fear is unbearable,fear
I feel nervous and alert,fear
I am afraid of losing everything,fear
I feel dread filling my mind,fear
I am scared of failure,fear
I feel anxiety tightening,fear
I am frightened by the risk,fear
I feel panic settling in,fear
I am afraid of being hurt,fear
This fear dominates my thoughts,fear
I feel anxious and restless,fear
I am scared to take risks,fear
I feel dread taking over,fear
I am frightened of the outcome,fear
I feel fear lingering,fear
I am anxious about the unknown,fear
This situation scares me deeply,fear
I feel panic in my chest,fear
I am afraid of losing control,fear
I feel fear building slowly,fear
I am frightened of making mistakes,fear
I feel nervous anticipation,fear
I am scared of failure again,fear
This fear clouds my thinking,fear
I feel anxious about tomorrow,fear
I am afraid of the consequences,fear
I feel panic without warning,fear
I am frightened emotionally,fear
I feel fear inside my body,fear
I am scared of what could happen,fear
I did not expect that,surprise
Wow that was unexpected,surprise
I am shocked by the news,surprise
That surprised me a lot,surprise
I cannot believe this happened,surprise
This came out of nowhere,surprise
I was not ready for this,surprise
That was unbelievable,surprise
I am amazed,surprise
What a surprise,surprise
This news caught me off guard,surprise
I was totally surprised,surprise
I never saw that coming,surprise
That completely blew my mind,surprise
I am in total disbelief,surprise
This is absolutely shocking,surprise
I did not expect this at all,surprise
My jaw just dropped,surprise
This is mind-blowing,surprise
I am stunned by this revelation,surprise
That plot twist was insane,surprise
I am speechless,surprise
This is beyond surprising,surprise
I was caught completely off guard,surprise
That was a pleasant surprise,surprise
I am astonished,surprise
This development is unexpected,surprise
I cannot process what just happened,surprise
That was so random,surprise
This news is shocking,surprise
I am flabbergasted,surprise
What a twist of events,surprise
I never would have guessed,surprise
This is unbelievable news,surprise
I am taken aback,surprise
That was completely unpredictable,surprise
This is a shocking turn of events,surprise
I am gobsmacked,surprise
That came as a complete surprise,surprise
I am astounded by this,surprise
This is remarkably unexpected,surprise
I had no idea this would happen,surprise
Did not see that coming,surprise
What just happened,surprise
This is crazy,surprise
Cannot believe my eyes,surprise
This is so unexpected,surprise
Never thought this would happen,surprise
This is wild,surprise
Holy cow what a surprise,surprise
This is insane,surprise
Mind officially blown,surprise
Did that really just happen,surprise
This is unreal,surprise
Cannot wrap my head around this,surprise
This is absolutely nuts,surprise
What a turn of events,surprise
This is incredible,surprise
Never expected this outcome,surprise
This is extraordinary,surprise
Cannot believe this is real,surprise
This is fantastic news,surprise
What an amazing surprise,surprise
This is phenomenal,surprise
Never dreamed this would happen,surprise
This is remarkable,surprise
Cannot process this information,surprise
This is stupendous,surprise
What a revelation,surprise
This is extraordinary news,surprise
Never anticipated this,surprise
This is groundbreaking,surprise
Cannot believe my luck,surprise
This is unprecedented,surprise
What a bombshell,surprise
This is sensational,surprise
Never imagined this scenario,surprise
This is miraculous,surprise
Cannot fathom what just happened,surprise
This is astounding,surprise
What a shocker,surprise
This is marvelous,surprise
Never predicted this outcome,surprise
This is spectacular,surprise
Cannot believe this twist,surprise
This is staggering news,surprise
What an unexpected development,surprise
This is amazing revelation,surprise
Never saw this possibility,surprise
This is breathtaking news,surprise
Cannot comprehend this surprise,surprise
This is electrifying,surprise
What a stunning turn,surprise
This is jaw-dropping news,surprise
I did not expect this result,surprise
That caught me completely off guard,surprise
I was not prepared for this,surprise
This outcome shocked me,surprise
I am surprised by this news,surprise
That was totally unexpected,surprise
I am amazed by what happened,surprise
This revelation stunned me,surprise
I never thought this would occur,surprise
That moment surprised everyone,surprise
I was shocked by the outcome,surprise
This happened suddenly,surprise
I did not see this coming,surprise
That news was astonishing,surprise
I am taken by surprise,surprise
This twist was unexpected,surprise
I am amazed at the result,surprise
That revelation surprised me greatly,surprise
I was caught off guard,surprise
This outcome was unpredictable,surprise
I am stunned by the announcement,surprise
This came as a shock,surprise
I was surprised by this turn,surprise
That was an unexpected event,surprise
I am amazed by this change,surprise
This was not anticipated,surprise
I am surprised at how things changed,surprise
That outcome shocked me deeply,surprise
I was not expecting this response,surprise
This news surprised everyone,surprise
I am stunned by this result,surprise
That development was surprising,surprise
I did not foresee this,surprise
I am amazed by the outcome,surprise
This revelation caught me off guard,surprise
I was shocked beyond expectation,surprise
That came unexpectedly,surprise
I am surprised by this decision,surprise
This situation surprised me,surprise
I was not ready for this change,surprise
That was a sudden surprise,surprise
I am amazed by the sudden shift,surprise
This shocked me instantly,surprise
I was surprised at the timing,surprise
This result was unforeseen,surprise
I am stunned by this development,surprise
That caught me by surprise,surprise
I never imagined this outcome,surprise
This announcement surprised me,surprise
I was shocked by the revelation,surprise
That outcome was astonishing,surprise
I am surprised at how fast it happened,surprise
This change was unexpected,surprise
I was stunned into silence,surprise
That came as a total shock,surprise
I am amazed by this news,surprise
This surprised me emotionally,surprise
I was not expecting this at all,surprise
That was shocking news,surprise
I am surprised by this twist,surprise
This event caught me off guard,surprise
I was amazed by what followed,surprise
That revelation shocked me,surprise
I am surprised by the outcome,surprise
This result was astonishing,surprise
I was not prepared for this,surprise
That news surprised me deeply,surprise
I am stunned by what happened,surprise
This came without warning,surprise
I was amazed at the change,surprise
That outcome surprised everyone,surprise
I am surprised by this situation,surprise
This revelation was shocking,surprise
I was caught by surprise,surprise
That development amazed me,surprise
I am stunned by the timing,surprise
This was beyond expectation,surprise
I never expected this turn,surprise
That shocked me emotionally,surprise
I am surprised by this reaction,surprise
This outcome surprised me greatly,surprise
I was not ready for this outcome,surprise
That was a surprising twist,surprise
I am amazed by this result,surprise
This event surprised me instantly,surprise
I was stunned by the outcome,surprise
That came as a surprise,surprise
I am surprised by this development,surprise
This shocked my expectations,surprise
I was amazed by the response,surprise
That news was unexpected,surprise
I am stunned by this revelation,surprise
This change surprised me deeply,surprise
I never thought this would happen,surprise
That was truly surprising,surprise
I am amazed by the twist,surprise
This shocked me completely,surprise
I was surprised emotionally,surprise
That was an unexpected outcome,surprise
I am stunned by this turn of events,surprise
That is absolutely disgusting,disgust
This smells horrible,disgust
I feel sick just looking at it,disgust
That behavior is unacceptable,disgust
I am disgusted by this,disgust
This is so gross,disgust
I cannot stand this,disgust
That made me feel nauseous,disgust
This food tastes awful,disgust
I feel repulsed,disgust
That scene was disturbing,disgust
This makes me feel uncomfortable,disgust
That is revolting,disgust
I feel nauseated by this,disgust
This is absolutely repugnant,disgust
I cannot even look at it,disgust
That smell is making me gag,disgust
This is utterly disgusting,disgust
I feel contaminated,disgust
That is so foul,disgust
This makes my skin crawl,disgust
I am repelled by this,disgust
This is vile and offensive,disgust
I want to throw up,disgust
That behavior is despicable,disgust
This is morally disgusting,disgust
I feel dirty just being near it,disgust
That taste is revolting,disgust
This is nauseating to watch,disgust
I am appalled by this,disgust
That is utterly repulsive,disgust
This is stomach-turning,disgust
I cannot tolerate this filth,disgust
This is beyond disgusting,disgust
That is so unsanitary,disgust
I am sickened by this,disgust
This is abhorrently gross,disgust
That makes me want to vomit,disgust
This is deplorable,disgust
I am horrified by this disgust,disgust
That is just nasty,disgust
This is making me queasy,disgust
This is reprehensible,disgust
Cannot stomach this,disgust
This is absolutely vile,disgust
That is so nasty,disgust
Cannot believe how gross this is,disgust
This is putrid,disgust
That smell is unbearable,disgust
This is sickening,disgust
Cannot look at this anymore,disgust
This is revolting behavior,disgust
That is completely vile,disgust
This makes me gag,disgust
Cannot stand the sight of this,disgust
This is absolutely foul,disgust
That is repulsive,disgust
This is grotesque,disgust
Cannot handle this smell,disgust
This is disgusting behavior,disgust
That is morally wrong,disgust
This is offensive,disgust
Cannot believe how nasty this is,disgust
This is horrifying,disgust
That is absolutely filthy,disgust
This is nauseating,disgust
Cannot tolerate this,disgust
This is appalling behavior,disgust
That is so repugnant,disgust
This is vile,disgust
Cannot deal with this,disgust
This is utterly reprehensible,disgust
That is so gross,disgust
This is despicable,disgust
Cannot stand this behavior,disgust
This is completely unacceptable,disgust
That is disgusting conduct,disgust
This is heinous,disgust
Cannot believe this exists,disgust
This is abhorrent,disgust
That is utterly gross,disgust
This is repellent,disgust
Cannot bear this smell,disgust
This is absolutely revolting,disgust
That is so distasteful,disgust
This is offensive behavior,disgust
Cannot stomach this sight,disgust
This is completely gross,disgust
That is so repulsive,disgust
This is nauseating behavior,disgust
This makes me feel sick,disgust
I feel repelled by this,disgust
That sight was revolting,disgust
I feel nauseous just thinking about it,disgust
This is extremely unpleasant,disgust
I am disgusted by this behavior,disgust
That smell is unbearable,disgust
I feel grossed out,disgust
This is deeply disturbing,disgust
I feel physically sick,disgust
That was repulsive to watch,disgust
I feel disgust rising,disgust
This is incredibly foul,disgust
I feel nauseated,disgust
That taste made me gag,disgust
I am appalled by this,disgust
This makes my stomach turn,disgust
I feel revolted,disgust
That was absolutely gross,disgust
I feel sickened by this,disgust
This behavior disgusts me,disgust
I feel uncomfortable and disgusted,disgust
That was unpleasant to see,disgust
I feel repulsion inside,disgust
This is horrifyingly gross,disgust
I am disturbed by this,disgust
That smell is nauseating,disgust
I feel disgusted emotionally,disgust
This is completely revolting,disgust
I feel repelled by the sight,disgust
That was sickening,disgust
I am disgusted beyond words,disgust
This is truly vile,disgust
